Block Size,QP,I_Period,PSNR,Bit Count,Total Bit Count,Elapsed Time (s)
8,9,4,18.339506769524846,1647368,9,32.613166093826294
8,9,4,11.295170382471495,1623608,9,32.613166093826294
8,9,4,20.031131072617455,1647368,9,32.613166093826294
8,9,4,18.864926536177748,1647368,9,32.613166093826294
8,9,4,18.962340612336654,1647368,9,32.613166093826294
8,9,4,23.155698557869595,1623608,9,32.613166093826294
8,9,4,19.553882587588166,1647368,9,32.613166093826294
8,0,10,38.330235211154786,1623608,0,34.52522158622742
8,0,10,49.822168440126724,1647368,0,34.52522158622742
8,0,10,49.657554653051285,1647368,0,34.52522158622742
8,0,10,49.608514146137004,1647368,0,34.52522158622742
8,0,10,49.53082843912086,1647368,0,34.52522158622742
8,0,10,49.568722017890366,1647368,0,34.52522158622742
8,0,10,49.55835457208409,1647368,0,34.52522158622742
8,0,10,49.52645458139977,1647368,0,34.52522158622742
8,0,10,49.54629041601435,1647368,0,34.52522158622742
8,0,10,49.528345438789145,1647368,0,34.52522158622742
8,3,10,31.147900730559677,1623608,3,33.476736307144165
8,3,10,37.430454110338786,1647368,3,33.476736307144165
8,3,10,36.844170691045754,1647368,3,33.476736307144165
8,3,10,36.44829477712272,1647368,3,33.476736307144165
8,3,10,35.95467656196679,1647368,3,33.476736307144165
8,3,10,35.83258363332751,1647368,3,33.476736307144165
8,3,10,35.6826235319783,1647368,3,33.476736307144165
8,3,10,35.4367628066915,1647368,3,33.476736307144165
8,3,10,35.40800541612101,1647368,3,33.476736307144165
8,3,10,35.36239146737741,1647368,3,33.476736307144165
8,6,10,27.165543637218384,1623608,6,34.68327307701111
8,6,10,28.348653210617066,1647368,6,34.68327307701111
8,6,10,27.972833121555208,1647368,6,34.68327307701111
8,6,10,27.36940992113587,1647368,6,34.68327307701111
8,6,10,26.909398874883898,1647368,6,34.68327307701111
8,6,10,26.73259360658392,1647368,6,34.68327307701111
8,6,10,26.405354690279736,1647368,6,34.68327307701111
8,6,10,26.068537529885866,1647368,6,34.68327307701111
8,6,10,26.006119957503437,1647368,6,34.68327307701111
8,6,10,25.798082583822147,1647368,6,34.68327307701111
8,9,10,11.080598970061345,1623608,9,34.414751291275024
8,9,10,19.286057336840923,1647368,9,34.414751291275024
8,9,10,18.877211988308016,1647368,9,34.414751291275024
8,9,10,18.339506769524846,1647368,9,34.414751291275024
8,9,10,18.460094027671442,1647368,9,34.414751291275024
8,9,10,18.488128046511815,1647368,9,34.414751291275024
8,9,10,18.153946566946274,1647368,9,34.414751291275024
8,9,10,18.168556169420537,1647368,9,34.414751291275024
8,9,10,18.30575284558105,1647368,9,34.414751291275024
8,9,10,18.061673795776198,1647368,9,34.414751291275024
16,1,1,34.59568223517063,1622416,1,21.50458312034607
16,1,1,34.31607175248683,1622416,1,21.50458312034607
16,1,1,43.28993790516129,1622416,1,21.50458312034607
16,1,1,34.022753447870535,1622416,1,21.50458312034607
16,1,1,34.80484716672753,1622416,1,21.50458312034607
16,1,1,45.58352741061651,1622416,1,21.50458312034607
16,1,1,34.7337599232237,1622416,1,21.50458312034607
16,1,1,35.06721343620985,1622416,1,21.50458312034607
16,1,1,43.22235264898793,1622416,1,21.50458312034607
16,1,1,34.24655252884471,1622416,1,21.50458312034607
16,4,1,30.33018302174113,1622416,4,20.951747179031372
16,4,1,30.48645761392281,1622416,4,20.951747179031372
16,4,1,36.60311449056262,1622416,4,20.951747179031372
16,4,1,30.075337421100183,1622416,4,20.951747179031372
16,4,1,30.904773361389623,1622416,4,20.951747179031372
16,4,1,36.77799724963441,1622416,4,20.951747179031372
16,4,1,30.052118962794083,1622416,4,20.951747179031372
16,4,1,30.845358827587816,1622416,4,20.951747179031372
16,4,1,36.02884196349721,1622416,4,20.951747179031372
16,4,1,30.069282337574023,1622416,4,20.951747179031372
16,7,1,24.252175685087902,1622416,7,22.276742458343506
16,7,1,26.527096651145442,1622416,7,22.276742458343506
16,7,1,27.984978618691322,1622416,7,22.276742458343506
16,7,1,24.460883458976287,1622416,7,22.276742458343506
16,7,1,26.017177490404325,1622416,7,22.276742458343506
16,7,1,27.896748007090668,1622416,7,22.276742458343506
16,7,1,24.6497172231097,1622416,7,22.276742458343506
16,7,1,26.391571517763047,1622416,7,22.276742458343506
16,7,1,27.92919458529756,1622416,7,22.276742458343506
16,7,1,24.72535300186835,1622416,7,22.276742458343506
16,10,1,10.951980240288766,1622416,10,26.18355941772461
16,10,1,11.284902003742818,1622416,10,26.18355941772461
16,10,1,19.290506189874094,1622416,10,26.18355941772461
16,10,1,10.705390395326473,1622416,10,26.18355941772461
16,10,1,11.306413129982836,1622416,10,26.18355941772461
16,10,1,19.804806558158898,1622416,10,26.18355941772461
16,10,1,10.801372855934124,1622416,10,26.18355941772461
16,10,1,11.479351413628667,1622416,10,26.18355941772461
16,10,1,19.789244801460818,1622416,10,26.18355941772461
16,10,1,11.09829838732818,1622416,10,26.18355941772461
16,1,4,34.59568223517063,1622416,1,26.794184923171997
16,1,4,45.41860309740127,1628360,1,26.794184923171997
16,1,4,45.05709442130589,1628360,1,26.794184923171997
16,1,4,44.825797952055254,1628360,1,26.794184923171997
16,1,4,34.80484716672753,1622416,1,26.794184923171997
16,1,4,45.71862536074339,1628360,1,26.794184923171997
16,1,4,45.08570742527297,1628360,1,26.794184923171997
16,1,4,44.861510466108726,1628360,1,26.794184923171997
16,1,4,43.22235264898793,1622416,1,26.794184923171997
16,1,4,45.481690450309586,1628360,1,26.794184923171997
16,4,4,30.33018302174113,1622416,4,26.26755690574646
16,4,4,35.11639296094296,1628360,4,26.26755690574646
16,4,4,35.00955517882144,1628360,4,26.26755690574646
16,4,4,34.274275123180196,1628360,4,26.26755690574646
16,4,4,30.904773361389623,1622416,4,26.26755690574646
16,4,4,36.03575183763185,1628360,4,26.26755690574646
16,4,4,34.72093827906858,1628360,4,26.26755690574646
16,4,4,34.37903681844456,1628360,4,26.26755690574646
16,4,4,36.02884196349721,1622416,4,26.26755690574646
16,4,4,35.737237490778135,1628360,4,26.26755690574646
16,7,4,24.252175685087902,1622416,7,26.87972331047058
16,7,4,25.719087541962068,1628360,7,26.87972331047058
16,7,4,25.507091527886132,1628360,7,26.87972331047058
16,7,4,24.838451834734002,1628360,7,26.87972331047058
16,7,4,26.017177490404325,1622416,7,26.87972331047058
16,7,4,26.537932723306604,1628360,7,26.87972331047058
16,7,4,25.33521844278102,1628360,7,26.87972331047058
16,7,4,25.056081915939878,1628360,7,26.87972331047058
16,7,4,27.92919458529756,1622416,7,26.87972331047058
16,7,4,26.73143847868756,1628360,7,26.87972331047058
16,10,4,10.951980240288766,1622416,10,24.445762634277344
16,10,4,17.44393666548457,1628360,10,24.445762634277344
16,10,4,17.742066469977374,1628360,10,24.445762634277344
16,10,4,17.25380399140168,1628360,10,24.445762634277344
16,10,4,11.306413129982836,1622416,10,24.445762634277344
16,10,4,18.289647327109964,1628360,10,24.445762634277344
16,10,4,17.53184632714668,1628360,10,24.445762634277344
16,10,4,18.34214405032252,1628360,10,24.445762634277344
16,10,4,19.789244801460818,1622416,10,24.445762634277344
16,10,4,18.51110124792297,1628360,10,24.445762634277344
